"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]","Nivel","Operands"
"O","OTRAS CUENTAS","Otras cuentas","Memo","N","No","Yes",,,"E",
"903","Cuenta de compensación de asientos","Cuenta de compensación de asientos","Memo","N","No","Yes",,"O","C",
"904","Cuenta de cuadre","Cuenta de cuadre","Memo","N","No","Yes",,"O","C",
"905","Cuenta de suspenso","Cuenta de suspenso","Memo","N","No","Yes",,"O","C",
"999","Coste de productos vendidos","Coste de productos vendidos","Memo","N","No","Yes",,"O","C",
"9031","Cuenta de compensación de asientos","Cuenta de compensación de asientos","Memo","N","No","Yes",,"903","D",
"9033","Cuenta por defecto","Cuenta por defecto","Memo","N","No","Yes",,"903","D",
"9040","Cuenta de cuadre","Cuenta de cuadre","Memo","N","No","Yes",,"904","D",
"9050","Cuenta de suspenso","Cuenta de suspenso","Memo","N","No","Yes",,"905","D",
"9990","Otras cuentas por defecto","Otras cuentas por defecto","Memo","N","No","Yes",,"999","D",
"70000","Ventas de mercaderías","Ventas de mercaderías","Revenue","C","Yes","No","P_REVENUE_ACCT","7000","S",
"70100","Ventas de productos terminados","Ventas de productos terminados","Revenue","C","No","No",,"7010","S",
"70200","Ventas de productos semiterminados","Ventas de productos semiterminados","Revenue","C","No","No",,"7020","S",
"70300","Ventas de subproductos y residuos","Ventas de subproductos y residuos","Revenue","C","No","No",,"7030","S",
"70400","Ventas de envases y embalajes","Ventas de envases y embalajes","Revenue","C","No","No",,"7040","S",
"70600","Descuentos sobre ventas por pronto pago de mercaderías","Descuentos sobre ventas por pronto pago de mercaderías","Revenue","C","No","No",,"7060","S",
"70610","Descuentos sobre ventas por pronto pago de productos terminados","Descuentos sobre ventas por pronto pago de productos terminados","Revenue","C","No","No",,"7061","S",
"70620","Descuentos sobre ventas por pronto pago de productos semiterminados","Descuentos sobre ventas por pronto pago de productos semiterminados","Revenue","C","No","No",,"7062","S",
"70630","Descuentos sobre ventas por pronto pago de subproductos y residuos","Descuentos sobre ventas por pronto pago de subproductos y residuos","Revenue","C","No","No",,"7063","S",
