"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]","Nivel","Operands"
"A","ACTIVO","ACTIVO","Asset","D","No","Yes",,,"E",
"A.A","A) ACTIVO NO CORRIENTE","A) ACTIVO NO CORRIENTE","Asset","D","No","Yes",,"A","E",
"A.A.I","I. INMOVILIZADO INTANGIBLE","I. INMOVILIZADO INTANGIBLE","Asset","D","No","Yes",,"A.A","E",
"A.A.I.1","1. DESARROLLO","1. DESARROLLO","Asset","D","No","Yes",,"A.A.I","E",
"200","Investigación","Investigación","Asset","D","No","Yes",,"A.A.I.1","C",
"2000","Investigación","Investigación","Asset","D","No","Yes",,"200","D",
"201","Desarrollo","Desarrollo","Asset","D","No","Yes",,"A.A.I.1","C",
"2010","Desarrollo","Desarrollo","Asset","D","No","Yes",,"201","D",
"280A","Amortización acumulada del inmovilizado intangible","Amortización acumulada del inmovilizado intangible","Asset","D","No","Yes",,"A.A.I.1","C",
"2800","Amortización acumulada de investigación","Amortización acumulada de investigación","Asset","D","No","Yes",,"280A","D",
"2801","Amortización acumulada de desarrollo","Amortización acumulada de desarrollo","Asset","D","No","Yes",,"280A","D",
"290A","Deterioro de valor del inmovilizado intangible","Deterioro de valor del inmovilizado intangible","Asset","D","No","Yes",,"A.A.I.1","C",
"2901","Deterioro del valor de desarrollo","Deterioro del valor de desarrollo","Asset","D","No","Yes",,"290A","D",
"A.A.I.2","2. CONCESIONES","2. CONCESIONES","Asset","D","No","Yes",,"A.A.I","E",
"202","Concesiones administrativas","Concesiones administrativas","Asset","D","No","Yes",,"A.A.I.2","C",
"2020","Concesiones administrativas","Concesiones administrativas","Asset","D","No","Yes",,"202","D",
"280B","Amortización acumulada del inmovilizado intangible","Amortización acumulada del inmovilizado intangible","Asset","D","No","Yes",,"A.A.I.2","C",
"2802","Amortización acumulada de concesiones administrativas","Amortización acumulada de concesiones administrativas","Asset","D","No","Yes",,"280B","D",
"290B","Deterioro de valor del inmovilizado intangible","Deterioro de valor del inmovilizado intangible","Asset","D","No","Yes",,"A.A.I.2","C",
"2902","Deterioro de valor de concesiones administrativas","Deterioro de valor de concesiones administrativas","Asset","D","No","Yes",,"290B","D",
"A.A.I.3","3. PATENTES. LICENCIAS. MARCAS Y SIMILARES","3. PATENTES. LICENCIAS. MARCAS Y SIMILARES","Asset","D","No","Yes",,"A.A.I","E",
"203","Propiedad industrial","Propiedad industrial","Asset","D","No","Yes",,"A.A.I.3","C",
"2030","Propiedad industrial","Propiedad industrial","Asset","D","No","Yes",,"203","D",
"280C","Amortización acumulada del inmovilizado intangible","Amortización acumulada del inmovilizado intangible","Asset","D","No","Yes",,"A.A.I.3","C",
"2803","Amortización acumulada de propiedad industrial","Amortización acumulada de propiedad industrial","Asset","D","No","Yes",,"280C","D",
"290C","Deterioro de valor del inmovilizado intangible","Deterioro de valor del inmovilizado intangible","Asset","D","No","Yes",,"A.A.I.3","C",
"2903","Deterioro de valor de propiedad industrial","Deterioro de valor de propiedad industrial","Asset","D","No","Yes",,"290C","D",
"A.A.I.4","4. FONDO DE COMERCIO","4. FONDO DE COMERCIO","Asset","D","No","Yes",,"A.A.I","E",
"204","Fondo de comercio","Fondo de comercio","Asset","D","No","Yes",,"A.A.I.4","C",
"2040","Fondo de comercio","Fondo de comercio","Asset","D","No","Yes",,"204","D",
"A.A.I.5","5. APLICACIONES INFORMATICAS","5. APLICACIONES INFORMATICAS","Asset","D","No","Yes",,"A.A.I","E",
"206","Aplicaciones informáticas","Aplicaciones informáticas","Asset","D","No","Yes",,"A.A.I.5","C",
"2060","Aplicaciones informáticas","Aplicaciones informáticas","Asset","D","No","Yes",,"206","D",
"280D","Amortización acumulada del inmovilizado intangible","Amortización acumulada del inmovilizado intangible","Asset","D","No","Yes",,"A.A.I.5","C",
"2806","Amortización acumulada de aplicaciones informáticas","Amortización acumulada de aplicaciones informáticas","Asset","D","No","Yes",,"280D","D",
"290D","Deterioro de valor del inmovilizado intangible","Deterioro de valor del inmovilizado intangible","Asset","D","No","Yes",,"A.A.I.5","C",
"2906","Deterioro de valor de aplicaciones informáticas","Deterioro de valor de aplicaciones informáticas","Asset","D","No","Yes",,"290D","D",
"A.A.I.6","6. OTRO INMOVILIZADO INTANGIBLE","6. OTRO INMOVILIZADO INTANGIBLE","Asset","D","No","Yes",,"A.A.I","E",
"205","Derechos de traspaso","Derechos de traspaso","Asset","D","No","Yes",,"A.A.I.6","C",
"2050","Derechos de traspaso","Derechos de traspaso","Asset","D","No","Yes",,"205","D",
"209","Anticipos para inmovilizaciones intangibles","Anticipos para inmovilizaciones intangibles","Asset","D","No","Yes",,"A.A.I.6","C",
"2090","Anticipos para inmovilizaciones intangibles","Anticipos para inmovilizaciones intangibles","Asset","D","No","Yes",,"209","D",
"280E","Amortización acumulada del inmovilizado intangible","Amortización acumulada del inmovilizado intangible","Asset","D","No","Yes",,"A.A.I.6","C",
"2805","Amortización acumulada de derechos de traspaso","Amortización acumulada de derechos de traspaso","Asset","D","No","Yes",,"280E","D",
"290E","Deterioro de valor del inmovilizado intangible","Deterioro de valor del inmovilizado intangible","Asset","D","No","Yes",,"A.A.I.6","C",
"2905","Deterioro de valor de derechos de traspaso","Deterioro de valor de derechos de traspaso","Asset","D","No","Yes",,"290E","D",
"A.A.II","II. INMOVILIZADO MATERIAL","II. INMOVILIZADO MATERIAL","Asset","D","No","Yes",,"A.A","E",
"A.A.II.1","1. TERRENOS Y CONSTRUCCIONES","1. TERRENOS Y CONSTRUCCIONES","Asset","D","No","Yes",,"A.A.II","E",
"210","Terrenos y bienes naturales","Terrenos y bienes naturales","Asset","D","No","Yes",,"A.A.II.1","C",
"2100","Terrenos y bienes naturales","Terrenos y bienes naturales","Asset","D","No","Yes",,"210","D",
"211","Construcciones","Construcciones","Asset","D","No","Yes",,"A.A.II.1","C",
"2110","Construcciones","Construcciones","Asset","D","No","Yes",,"211","D",
"281A","Amortización acumulada del inmovilizado material","Amortización acumulada del inmovilizado material","Asset","D","No","Yes",,"A.A.II.1","C",
"2811","Amortización acumulada de construcciones","Amortización acumulada de construcciones","Asset","D","No","Yes",,"281A","D",
"291A","Deterioro de valor del inmovilizado material","Deterioro de valor del inmovilizado material","Asset","D","No","Yes",,"A.A.II.1","C",
"2910","Deterioro de valor de terrenos y bienes naturales","Deterioro de valor de terrenos y bienes naturales","Asset","D","No","Yes",,"291A","D",
"2911","Deterioro de valor de construcciones","Deterioro de valor de construcciones","Asset","D","No","Yes",,"291A","D",
"A.A.II.2","2. INSTALACIONES TECNICAS Y OTRO INMOVILIZADO MATERIAL","2. INSTALACIONES TECNICAS Y OTRO INMOVILIZADO MATERIAL","Asset","D","No","Yes",,"A.A.II","E",
"212","Instalaciones técnicas","Instalaciones técnicas","Asset","D","No","Yes",,"A.A.II.2","C",
"2120","Instalaciones técnicas","Instalaciones técnicas","Asset","D","No","Yes",,"212","D",
"213","Maquinaria","Maquinaria","Asset","D","No","Yes",,"A.A.II.2","C",
"2130","Maquinaria","Maquinaria","Asset","D","No","Yes",,"213","D",
"214","Utillaje","Utillaje","Asset","D","No","Yes",,"A.A.II.2","C",
"2140","Utillaje","Utillaje","Asset","D","No","Yes",,"214","D",
"215","Otras instalaciones","Otras instalaciones","Asset","D","No","Yes",,"A.A.II.2","C",
"2150","Otras instalaciones","Otras instalaciones","Asset","D","No","Yes",,"215","D",
"216","Mobiliario","Mobiliario","Asset","D","No","Yes",,"A.A.II.2","C",
"2160","Mobiliario","Mobiliario","Asset","D","No","Yes",,"216","D",
"217","Equipos para procesos de información","Equipos para procesos de información","Asset","D","No","Yes",,"A.A.II.2","C",
"2170","Equipos para procesos de información","Equipos para procesos de información","Asset","D","No","Yes",,"217","D",
"218","Elementos de transporte","Elementos de transporte","Asset","D","No","Yes",,"A.A.II.2","C",
"2180","Elementos de transporte","Elementos de transporte","Asset","D","No","Yes",,"218","D",
"219","Otro inmovilizado material","Otro inmovilizado material","Asset","D","No","Yes",,"A.A.II.2","C",
"2190","Otro inmovilizado material","Otro inmovilizado material","Asset","D","No","Yes",,"219","D",
"281B","Amortización acumulada del inmovilizado material","Amortización acumulada del inmovilizado material","Asset","D","No","Yes",,"A.A.II.2","C",
"2812","Amortización acumulada de instalaciones técnicas","Amortización acumulada de instalaciones técnicas","Asset","D","No","Yes",,"281B","D",
"2813","Amortización acumulada de maquinaria","Amortización acumulada de maquinaria","Asset","D","No","Yes",,"281B","D",
"2814","Amortización acumulada de utillaje","Amortización acumulada de utillaje","Asset","D","No","Yes",,"281B","D",
"2815","Amortización acumulada de otras instalaciones","Amortización acumulada de otras instalaciones","Asset","D","No","Yes",,"281B","D",
"2816","Amortización acumulada de mobiliario","Amortización acumulada de mobiliario","Asset","D","No","Yes",,"281B","D",
"2817","Amortización acumulada de equipos para procesos de información","Amortización acumulada de equipos para procesos de información","Asset","D","No","Yes",,"281B","D",
"2818","Amortización acumulada de elementos de transporte","Amortización acumulada de elementos de transporte","Asset","D","No","Yes",,"281B","D",
"2819","Amortización acumulada de otro inmovilizado material","Amortización acumulada de otro inmovilizado material","Asset","D","No","Yes",,"281B","D",
"291B","Deterioro de valor del inmovilizado material","Deterioro de valor del inmovilizado material","Asset","D","No","Yes",,"A.A.II.2","C",
"2912","Deterioro de valor de instalaciones técnicas","Deterioro de valor de instalaciones técnicas","Asset","D","No","Yes",,"291B","D",
"2913","Deterioro de valor de maquinaria","Deterioro de valor de maquinaria","Asset","D","No","Yes",,"291B","D",
"2914","Deterioro de valor de utillaje","Deterioro de valor de utillaje","Asset","D","No","Yes",,"291B","D",
"2915","Deterioro de valor de otras instalaciones","Deterioro de valor de otras instalaciones","Asset","D","No","Yes",,"291B","D",
"2916","Deterioro de valor de mobiliario","Deterioro de valor de mobiliario","Asset","D","No","Yes",,"291B","D",
"2917","Deterioro de valor de equipos para procesos de información","Deterioro de valor de equipos para procesos de información","Asset","D","No","Yes",,"291B","D",
"2918","Deterioro de valor de elementos de transporte","Deterioro de valor de elementos de transporte","Asset","D","No","Yes",,"291B","D",
"2919","Deterioro de valor de otro inmovilizado material","Deterioro de valor de otro inmovilizado material","Asset","D","No","Yes",,"291B","D",
"A.A.II.3","3. INMOVILIZADO EN CURSO Y ANTICIPOS","3. INMOVILIZADO EN CURSO Y ANTICIPOS","Asset","D","No","Yes",,"A.A.II","E",
"230","Adaptación de terrenos y bienes naturales","Adaptación de terrenos y bienes naturales","Asset","D","No","Yes",,"A.A.II.3","C",
"2300","Adaptación de terrenos y bienes naturales","Adaptación de terrenos y bienes naturales","Asset","D","No","Yes",,"230","D",
"231","Construcciones en curso","Construcciones en curso","Asset","D","No","Yes",,"A.A.II.3","C",
"2310","Construcciones en curso","Construcciones en curso","Asset","D","No","Yes",,"231","D",
"232","Instalaciones técnicas en montaje","Instalaciones técnicas en montaje","Asset","D","No","Yes",,"A.A.II.3","C",
"2320","Instalaciones técnicas en montaje","Instalaciones técnicas en montaje","Asset","D","No","Yes",,"232","D",
"233","Maquinaria en montaje","Maquinaria en montaje","Asset","D","No","Yes",,"A.A.II.3","C",
"2330","Maquinaria en montaje","Maquinaria en montaje","Asset","D","No","Yes",,"233","D",
"237","Equipos para procesos de información en montaje","Equipos para procesos de información en montaje","Asset","D","No","Yes",,"A.A.II.3","C",
"2370","Equipos para procesos de información en montaje","Equipos para procesos de información en montaje","Asset","D","No","Yes",,"237","D",
"239","Anticipos para inmovilizaciones materiales","Anticipos para inmovilizaciones materiales","Asset","D","No","Yes",,"A.A.II.3","C",
"2390","Anticipos para inmovilizaciones materiales","Anticipos para inmovilizaciones materiales","Asset","D","No","Yes",,"239","D",
"A.A.III","III. INVERSIONES INMOBILIARIAS","III. INVERSIONES INMOBILIARIAS","Asset","D","No","Yes",,"A.A","E",
"A.A.III.1","1. TERRENOS","1. TERRENOS","Asset","D","No","Yes",,"A.A.III","E",
"220","Inversiones en terrenos y bienes naturales","Inversiones en terrenos y bienes naturales","Asset","D","No","Yes",,"A.A.III.1","C",
"2200","Inversiones en terrenos y bienes naturales","Inversiones en terrenos y bienes naturales","Asset","D","No","Yes",,"220","D",
"292A","Deterioro de valor de las inversiones inmobiliarias","Deterioro de valor de las inversiones inmobiliarias","Asset","D","No","Yes",,"A.A.III.1","C",
"2920","Deterioro de valor de los terrenos y bienes naturales","Deterioro de valor de los terrenos y bienes naturales","Asset","D","No","Yes",,"292A","D",
"A.A.III.2","2. CONSTRUCCIONES","2. CONSTRUCCIONES","Asset","D","No","Yes",,"A.A.III","E",
"221","Inversiones en construcciones","Inversiones en construcciones","Asset","D","No","Yes",,"A.A.III.2","C",
"2210","Inversiones en construcciones","Inversiones en construcciones","Asset","D","No","Yes",,"221","D",
"282","Amortización acumulada de las inversiones inmobiliarias","Amortización acumulada de las inversiones inmobiliarias","Asset","D","No","Yes",,"A.A.III.2","C",
"2820","Amortización acumulada de las inversiones inmobiliarias","Amortización acumulada de las inversiones inmobiliarias","Asset","D","No","Yes",,"282","D",
"292B","Deterioro de valor de las inversiones inmobiliarias","Deterioro de valor de las inversiones inmobiliarias","Asset","D","No","Yes",,"A.A.III.2","C",
"2921","Deterioro de valor de construcciones","Deterioro de valor de construcciones","Asset","D","No","Yes",,"292B","D",
"A.A.IV","IV. INVERSIONES EN EMPRESAS DEL GRUPO Y ASOCIADAS A LARGO PLAZO","IV. INVERSIONES EN EMPRESAS DEL GRUPO Y ASOCIADAS A LARGO PLAZO","Asset","D","No","Yes",,"A.A","E",
"A.A.IV.1","1. INSTRUMENTOS DE PATRIMONIO","1. INSTRUMENTOS DE PATRIMONIO","Asset","D","No","Yes",,"A.A.IV","E",
"240A","Participaciones a largo plazo en partes vinculadas","Participaciones a largo plazo en partes vinculadas","Asset","D","No","Yes",,"A.A.IV.1","C",
"2403","Participaciones a largo plazo en empresas del grupo","Participaciones a largo plazo en empresas del grupo","Asset","D","No","Yes",,"240A","D",
"2404","Participaciones a largo plazo en empresas asociadas","Participaciones a largo plazo en empresas asociadas","Asset","D","No","Yes",,"240A","D",
"249A","Desembolsos pendientes sobre participaciones a largo plazo en partes vinculadas","Desembolsos pendientes sobre participaciones a largo plazo en partes vinculadas","Asset","D","No","Yes",,"A.A.IV.1","C",
"2493","Desembolsos pendientes sobre participaciones a largo plazo en em presas del grupo","Desembolsos pendientes sobre participaciones a largo plazo en em presas del grupo","Asset","D","No","Yes",,"249A","D",
"2494","Desembolsos pendientes sobre participaciones a largo plazo en empresas asociadas","Desembolsos pendientes sobre participaciones a largo plazo en empresas asociadas","Asset","D","No","Yes",,"249A","D",
"293","Deterioro de valor de participaciones a largo plazo en partes vinculadas","Deterioro de valor de participaciones a largo plazo en partes vinculadas","Asset","D","No","Yes",,"A.A.IV.1","C",
"2930","Deterioro de valor de participaciones a largo plazo en partes vinculadas","Deterioro de valor de participaciones a largo plazo en partes vinculadas","Asset","D","No","Yes",,"293","D",
"2933","Deterioro de valor de participaciones a largo plazo en empresas del grupo","Deterioro de valor de participaciones a largo plazo en empresas del grupo","Asset","D","No","Yes",,"293","D",
"2934","Deterioro de valor de participaciones a largo plazo en empresas asociadas","Deterioro de valor de participaciones a largo plazo en empresas asociadas","Asset","D","No","Yes",,"293","D",
"A.A.IV.2","2. CREDITOS A EMPRESAS","2. CREDITOS A EMPRESAS","Asset","D","No","Yes",,"A.A.IV","E",
"242A","Créditos a largo plazo a partes vinculadas","Créditos a largo plazo a partes vinculadas","Asset","D","No","Yes",,"A.A.IV.2","C",
"2423","Créditos a largo plazo a empresas del grupo","Créditos a largo plazo a empresas del grupo","Asset","D","No","Yes",,"242A","D",
"2424","Créditos a largo plazo a empresas asociadas","Créditos a largo plazo a empresas asociadas","Asset","D","No","Yes",,"242A","D",
"295A","Deterioro de valor de créditos a largo plazo a partes vinculadas","Deterioro de valor de créditos a largo plazo a partes vinculadas","Asset","D","No","Yes",,"A.A.IV.2","C",
"2953","Deterioro de valor de créditos a largo plazo a empresas del grupo","Deterioro de valor de créditos a largo plazo a empresas del grupo","Asset","D","No","Yes",,"295A","D",
"2954","Deterioro de valor de créditos a largo plazo a empresas asociadas","Deterioro de valor de créditos a largo plazo a empresas asociadas","Asset","D","No","Yes",,"295A","D",
"A.A.IV.3","3. VALORES REPRESENTATIVOS DE DEUDA","3. VALORES REPRESENTATIVOS DE DEUDA","Asset","D","No","Yes",,"A.A.IV","E",
"241A","Valores representativos de deuda a largo plazo de partes vinculadas","Valores representativos de deuda a largo plazo de partes vinculadas","Asset","D","No","Yes",,"A.A.IV.3","C",
"2413","Valores representativos de deuda a largo plazo de empresas del grupo","Valores representativos de deuda a largo plazo de empresas del grupo","Asset","D","No","Yes",,"241A","D",
"2414","Valores representativos de deuda a largo plazo de empresas asociadas","Valores representativos de deuda a largo plazo de empresas asociadas","Asset","D","No","Yes",,"241A","D",
"294A","Deterioro de valor de valores representativos de deuda a largo plazo de partes vinculadas","Deterioro de valor de valores representativos de deuda a largo plazo de partes vinculadas","Asset","D","No","Yes",,"A.A.IV.3","C",
"2943","Deterioro de valor de valores representativos de deuda a largo plazo de empresas del grupo","Deterioro de valor de valores representativos de deuda a largo plazo de empresas del grupo","Asset","D","No","Yes",,"294A","D",
"2944","Deterioro de valor de valores representativos de deuda a largo plazo de empresas asociadas","Deterioro de valor de valores representativos de deuda a largo plazo de empresas asociadas","Asset","D","No","Yes",,"294A","D",
"A.A.IV.4","4. DERIVADOS","4. DERIVADOS","Asset","D","No","Yes",,"A.A.IV","E",
"A.A.IV.5","5. OTROS ACTIVOS FINANCIEROS","5. OTROS ACTIVOS FINANCIEROS","Asset","D","No","Yes",,"A.A.IV","E",
"A.A.V","V. INVERSIONES FINANCIERAS A LARGO PLAZO","V. INVERSIONES FINANCIERAS A LARGO PLAZO","Asset","D","No","Yes",,"A.A","E",
"A.A.V.1","1. INSTRUMENTOS DE PATRIMONIO","1. INSTRUMENTOS DE PATRIMONIO","Asset","D","No","Yes",,"A.A.V","E",
"240B","Participaciones a largo plazo en partes vinculadas","Participaciones a largo plazo en partes vinculadas","Asset","D","No","Yes",,"A.A.V.1","C",
"2405","Participaciones a largo plazo en otras partes vinculadas","Participaciones a largo plazo en otras partes vinculadas","Asset","D","No","Yes",,"240B","D",
"249B","Desembolsos pendientes sobre participaciones a largo plazo en partes vinculadas","Desembolsos pendientes sobre participaciones a largo plazo en partes vinculadas","Asset","D","No","Yes",,"A.A.V.1","C",
"2495","Desembolsos pendientes sobre participaciones a largo plazo en otras partes vinculadas","Desembolsos pendientes sobre participaciones a largo plazo en otras partes vinculadas","Asset","D","No","Yes",,"249B","D",
"250","Inversiones financieras a largo plazo en instrumentos de patrimonio","Inversiones financieras a largo plazo en instrumentos de patrimonio","Asset","D","No","Yes",,"A.A.V.1","C",
"2500","Inversiones financieras a largo plazo en instrumentos de patrimonio","Inversiones financieras a largo plazo en instrumentos de patrimonio","Asset","D","No","Yes",,"250","D",
"259","Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo","Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo","Asset","D","No","Yes",,"A.A.V.1","C",
"2590","Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo","Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo","Asset","D","No","Yes",,"259","D",
"A.A.V.2","2. CREDITOS A TERCEROS","2. CREDITOS A TERCEROS","Asset","D","No","Yes",,"A.A.V","E",
"242B","Créditos a largo plazo a partes vinculadas","Créditos a largo plazo a partes vinculadas","Asset","D","No","Yes",,"A.A.V.2","C",
"2425","Créditos a largo plazo a otras partes vinculadas","Créditos a largo plazo a otras partes vinculadas","Asset","D","No","Yes",,"242B","D",
"252","Créditos a largo plazo","Créditos a largo plazo","Asset","D","No","Yes",,"A.A.V.2","C",
"2520","Créditos a largo plazo","Créditos a largo plazo","Asset","D","No","Yes",,"252","D",
"253","Créditos a largo plazo por enajenación de in movilizado","Créditos a largo plazo por enajenación de in movilizado","Asset","D","No","Yes",,"A.A.V.2","C",
"2530","Créditos a largo plazo por enajenación de in movilizado","Créditos a largo plazo por enajenación de in movilizado","Asset","D","No","Yes",,"253","D",
"254","Créditos a largo plazo al personal","Créditos a largo plazo al personal","Asset","D","No","Yes",,"A.A.V.2","C",
"2540","Créditos a largo plazo al personal","Créditos a largo plazo al personal","Asset","D","No","Yes",,"254","D",
"295B","Deterioro de valor de créditos a largo plazo a partes vinculadas","Deterioro de valor de créditos a largo plazo a partes vinculadas","Asset","D","No","Yes",,"A.A.V.2","C",
"2955","Deterioro de valor de créditos a largo plazo a otras partes vinculadas","Deterioro de valor de créditos a largo plazo a otras partes vinculadas","Asset","D","No","Yes",,"295B","D",
"298","Deterioro de valor de créditos a largo plazo","Deterioro de valor de créditos a largo plazo","Asset","D","No","Yes",,"A.A.V.2","C",
"2980","Deterioro de valor de créditos a largo plazo","Deterioro de valor de créditos a largo plazo","Asset","D","No","Yes",,"298","D",
"A.A.V.3","3. VALORES REPRESENTATIVOS DE DEUDA","3. VALORES REPRESENTATIVOS DE DEUDA","Asset","D","No","Yes",,"A.A.V","E",
"241B","Valores representativos de deuda a largo plazo de partes vinculadas","Valores representativos de deuda a largo plazo de partes vinculadas","Asset","D","No","Yes",,"A.A.V.3","C",
"2415","Valores representativos de deuda a largo plazo de otras partes vinculadas","Valores representativos de deuda a largo plazo de otras partes vinculadas","Asset","D","No","Yes",,"241B","D",
"251","Valores representativos de deuda a largo plazo","Valores representativos de deuda a largo plazo","Asset","D","No","Yes",,"A.A.V.3","C",
"2510","Valores representativos de deuda a largo plazo","Valores representativos de deuda a largo plazo","Asset","D","No","Yes",,"251","D",
"294B","Deterioro de valor de valores representativos de deuda a largo plazo de partes vinculadas","Deterioro de valor de valores representativos de deuda a largo plazo de partes vinculadas","Asset","D","No","Yes",,"A.A.V.3","C",
"2945","Deterioro de valor de valores representativos de deuda a largo plazo de otras partes vinculadas","Deterioro de valor de valores representativos de deuda a largo plazo de otras partes vinculadas","Asset","D","No","Yes",,"294B","D",
"297","Deterioro de valor de valores representativos de deuda a largo plazo","Deterioro de valor de valores representativos de deuda a largo plazo","Asset","D","No","Yes",,"A.A.V.3","C",
"2970","Deterioro de valor de valores representativos de deuda a largo plazo","Deterioro de valor de valores representativos de deuda a largo plazo","Asset","D","No","Yes",,"297","D",
"A.A.V.4","4. DERIVADOS","4. DERIVADOS","Asset","D","No","Yes",,"A.A.V","E",
"255","Activos por derivados financieros a largo plazo","Activos por derivados financieros a largo plazo","Asset","D","No","Yes",,"A.A.V.4","C",
"2550","Activos por derivados financieros a largo plazo","Activos por derivados financieros a largo plazo. cartera de negociación","Asset","D","No","Yes",,"255","D",
"2553","Activos por derivados financieros a largo plazo. instrumentos de cobertura","Activos por derivados financieros a largo plazo. instrumentos de cobertura","Asset","D","No","Yes",,"255","D",
"A.A.V.5","5. OTROS ACTIVOS FINANCIEROS","5. OTROS ACTIVOS FINANCIEROS","Asset","D","No","Yes",,"A.A.V","E",
"258","Imposiciones a largo plazo","Imposiciones a largo plazo","Asset","D","No","Yes",,"A.A.V.5","C",
"2580","Imposiciones a largo plazo","Imposiciones a largo plazo","Asset","D","No","Yes",,"258","D",
"260","Fianzas constituidas a largo plazo","Fianzas constituidas a largo plazo","Asset","D","No","Yes",,"A.A.V.5","C",
"2600","Fianzas constituidas a largo plazo","Fianzas constituidas a largo plazo","Asset","D","No","Yes",,"260","D",
"265","Depósitos constituidos a largo plazo","Depósitos constituidos a largo plazo","Asset","D","No","Yes",,"A.A.V.5","C",
"2650","Depósitos constituidos a largo plazo","Depósitos constituidos a largo plazo","Asset","D","No","Yes",,"265","D",
"A.A.VI","VI. ACTIVOS POR IMPUESTO DIFERIDO","VI. ACTIVOS POR IMPUESTO DIFERIDO","Asset","D","No","Yes",,"A.A","E",
"474","Activos por impuesto diferido","Activos por impuesto diferido","Asset","D","No","Yes",,"A.A.VI","C",
"4740","Activos por diferencias temporarias deducibles","Activos por diferencias temporarias deducibles","Asset","D","No","Yes",,"474","D",
"4742","Derechos por deducciones y bonificaciones pendientes de aplicar","Derechos por deducciones y bonificaciones pendientes de aplicar","Asset","D","No","Yes",,"474","D",
"4745","Crédito por pérdidas a compensar del ejercicio","Crédito por pérdidas a compensar del ejercicio","Asset","D","No","Yes",,"474","D",
"A.B","B) ACTIVO CORRIENTE","B) ACTIVO CORRIENTE","Asset","D","No","Yes",,"A","E",
"A.B.I","I. ACTIVOS NO CORRIENTES MANTENIDOS PARA LA VENTA","I. ACTIVOS NO CORRIENTES MANTENIDOS PARA LA VENTA","Asset","D","No","Yes",,"A.B","E",
"580","Inmovilizado","Inmovilizado","Asset","D","No","Yes",,"A.B.I","C",
"5800","Inmovilizado","Inmovilizado","Asset","D","No","Yes",,"580","D",
"581","Inversiones con personas y entidades vinculadas","Inversiones con personas y entidades vinculadas","Asset","D","No","Yes",,"A.B.I","C",
"5810","Inversiones con personas y entidades vinculadas","Inversiones con personas y entidades vinculadas","Asset","D","No","Yes",,"581","D",
"582","Inversiones financieras","Inversiones financieras","Asset","D","No","Yes",,"A.B.I","C",
"5820","Inversiones financieras","Inversiones financieras","Asset","D","No","Yes",,"582","D",
"583","Existencias. deudores comerciales y otras cuentas a cobrar","Existencias. deudores comerciales y otras cuentas a cobrar","Asset","D","No","Yes",,"A.B.I","C",
"5830","Existencias. deudores comerciales y otras cuentas a cobrar","Existencias. deudores comerciales y otras cuentas a cobrar","Asset","D","No","Yes",,"583","D",
"584","Otros activos","Otros activos","Asset","D","No","Yes",,"A.B.I","C",
"5840","Otros activos","Otros activos","Asset","D","No","Yes",,"584","D",
"599","Deterioro de valor de activos no corrientes mantenidos para la venta","Deterioro de valor de activos no corrientes mantenidos para la venta","Asset","D","No","Yes",,"A.B.I","C",
"5990","Deterioro de valor de inmovilizado no corriente mantenido para la venta","Deterioro de valor de inmovilizado no corriente mantenido para la venta","Asset","D","No","Yes",,"599","D",
"5991","Deterioro de valor de inversiones con personas y entidades vinculadas no corrientes mantenidas para la venta","Deterioro de valor de inversiones con personas y entidades vinculadas no corrientes mantenidas para la venta","Asset","D","No","Yes",,"599","D",
"5992","Deterioro de valor de inversiones financieras no corrientes mantenidas para la venta","Deterioro de valor de inversiones financieras no corrientes mantenidas para la venta","Asset","D","No","Yes",,"599","D",
"5993","Deterioro de valor de existencias.deudores comerciales y otras cuentas a cobrar integrados en un grupo enajenable mantenido para la venta","Deterioro de valor de existencias.deudores comerciales y otras cuentas a cobrar integrados en un grupo enajenable mantenido para la venta","Asset","D","No","Yes",,"599","D",
"5994","Deterioro de valor de otros activos mantenidos para la venta","Deterioro de valor de otros activos mantenidos para la venta","Asset","D","No","Yes",,"599","D",
"A.B.II","II. EXISTENCIAS","II. EXISTENCIAS","Asset","D","No","Yes",,"A.B","E",
"A.B.II.1","1. COMERCIALES","1. COMERCIALES","Asset","D","No","Yes",,"A.B.II","E",
"300","Mercaderías A","Mercaderías A","Asset","D","No","Yes",,"A.B.II.1","C",
"3000","Mercaderías A","Mercaderías A","Asset","D","No","Yes",,"300","D",
"301","Mercaderías B","Mercaderías B","Asset","D","No","Yes",,"A.B.II.1","C",
"3010","Mercaderías B","Mercaderías B","Asset","D","No","Yes",,"301","D",
"390","Deterioro de valor de las mercaderías","Deterioro de valor de las mercaderías","Asset","D","No","Yes",,"A.B.II.1","C",
"3900","Deterioro de valor de las mercaderías","Deterioro de valor de las mercaderías","Asset","D","No","Yes",,"390","D",
"A.B.II.2","2. MATERIAS PRIMAS Y OTROS APROVISIONAMIENTOS","2. MATERIAS PRIMAS Y OTROS APROVISIONAMIENTOS","Asset","D","No","Yes",,"A.B.II","E",
